Counties,2020-03-22
Fulton,108
Cobb,61
Bartow,57
Dougherty,48
DeKalb,45
Gwinnett,27
Cherokee,18
Lee,16
Carroll,14
Clayton,13
RichmondÂ ,10
Clarke,9
Fayette,9
Floyd,9
Hall,9
Coweta,8
Lowndes,8
Henry,7
Chatham,4
Douglas,4
Forsyth,4
Gordon,4
Newton,4
Paulding,4
Polk,4
Troup,4
Columbia,3
Glynn,3
Lamar,3
Peach,3
Baldwin,2
Early,2
Effingham,2
Laurens,2
Muscogee,2
Pickens,2
Rockdale,2
Spalding,2
Sumter,2
Terrell,2
Tift,2
Whitfield,2
Worth,2
Barrow,1
Bibb,1
Butts,1
Charlton,1
Chattooga,1
Dawson,1
Heard,1
Houston,1
Lincoln,1
Lumpkin,1
Miller,1
Monroe,1
Oconee,1
Randolph,1
Turner,1
Twiggs,1
Unknown,38
